mergeid,sample,int_date,phase,fcall,attempts,refusal,stimes,ilang,p1version,cregion,state,density,usr,scregion,sstate,susr,igender,irace,llitext1,llitext2,qs1,cpitext1,cpitext2,qa1,qa1a,qb2,qb3,qb4,qa12,qa14a,qa14b,qa14c,qa14d,qa14e,qa15a,qa15b,qb18a,qb18b,q25a,q25b,q25c,q25d,q25f,q25g,q25i,q25k,q25n,q25p,qa26,qa27,qb27,qb28,qb29,qa30,qb30,qb31,oftvote,qb32,qb33,qb33a,cheat,qa36a,qa36b,qa36c,qa36d,qa37a,qa37b,qa37c,qa37d,q40,qb42a,qb42b,qb42c,qb42d,qb46,q50r,q50u,q50y,q50aa,q50cc,q50ee,q50hh,qbx,qe2,qe1,qe3,employ1,employ7,qe11,q51jj,q51ll,q51mm,q51nn,q51pp,q51qq,q51rr,qb52,qb52x,qb53a,qb53b,qb53c,qb54,qb54a,qb55a,qb55b,qa62,qa77,qa77a,qa77b,qa78,qb80,qa126,qa126a,qa126b,qa127,qa128,qa129,qa143,ideoconsist,typogroups,sex,age,educ2,hisp,racecmb,racethn,racethn2,birth_hisp,usborn,marital,citizen,relig,chr,born,attend,income,inchi,reg,party,partyln,partystr,partysum,qb166,qb167,qa168,qa169,ideo,partyideo,hh1,hh3,adults,child,ql1,ql1a,qc1,ll,cp,money2,ckinfo,iphoneuse,hphoneuse,weight
1100009,1,61417,1,170608,4,0,4,1,2,3,13,4,S,3,13,S,2,2,1,2, , , ,2,1, , , ,2,1,1,1,1,1,4,2, , ,2,1,2,1,1,1,2,1,2, ,1,1, , , ,2, , ,2, , , , ,1,2,1,2,2,1,2,1,2, , , , , ,2,1,2,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,1,1,1, ,2, ,1,1, ,1,1,2,2,-8,1,1,45,8,2,2,2,2, ,1,6, ,13, ,1,4,7, ,1,2, ,1,2, , , ,1,5,5,1, ,1,0,1, , ,1,1, , ,2,2,1.0645161290322582
1100012,1,60817,1,170608,1,0,1,1,1,2,18,1,R,2,18,R,2,4,2,1, , , ,1,1, , , ,1,2,1,1,1,2,1,4, , ,2,2,1,2,2,2,2,1,1, ,2,2, , , ,1, , ,1, , , , ,2,1,2,1,2,2,1,2,1, , , , , ,2,2,2,2,2,1,1, , , , , , , ,2,2, ,1, , , , , , , , , , , , ,1,2, ,2,2, ,2, ,2,2,4,4,1,2,7,1,54,3,2,1,1,1, ,1,1, ,1, ,1,1,6, ,1,1, ,1,1, , ,1, ,1,1,3,3,3,0,1, , ,1,1, , ,2,2,4
1100014,1,60817,1,170608,1,0,1,1,1,1,36,1,R,1,36,R,1,2,2,2, , , ,1,2, , , ,1,2,1,1,2,2,2,3, , ,1,1,1,2,2,1,1,2,1, ,1,1, , , ,2, , ,1, , , , ,2,2,2,1,2,2,1,2,1, , , , , ,1,1,1,1,2,2,1, , , , , , , ,1,1, ,1, , , , , , , , , , , , ,3,1,2, ,1, ,2, ,2,1,3,1,2,2,6,2,57,6,2,1,1,1, ,1,1, ,1, ,2,3,6, ,1,1, ,1,1, , ,2, ,3,2,4,4,3,0,1, , ,1,1, , ,2,2,1.6129032258064517
1100018,1,61417,1,170608,6,1,6,1,2,3,1,1,R,3,1,R,2,2,2,1, , , ,2,1, , , ,1,2,2,2,2,1,4,1, , ,1,9,2,1,1,9,2,2,1, ,1,2, , , ,2, , ,1, , , , ,1,2,1,2,2,1,2,1,2, , , , , ,9,2,2,2,9,2,2, , , , , , , ,2,1, ,2, , , , , , , , , , , , ,2,1,9, ,2, ,1,9, ,1,3,9,9,-3,4,2,54,5,2,3,4,5, ,1,5, ,1,1,1,1,10, ,1,2, ,1,2, , , ,1,1,4,9,9,2,99,1, , ,1,1, , ,2,2,3.7419354838709675
1100019,1,60817,1,170608,1,0,1,1,1,2,18,3,U,2,18,U,2,4,1,2, , , ,1,1, , , ,1,3,3,2,2,2,2,4, , ,1,2,5,2,2,5,1,1,2, ,2,1, , , ,1, , ,1, , , , ,2,2,2,2,1,2,1,2,1, , , , , ,1,5,1,2,2,5,1, , , , , , , ,2,2, ,1, , , , , , , , , , , , ,1,2, ,2,1, ,2, ,2,1,2,3,1,7,8,1,63,6,2,1,1,1, ,1,1, ,1, ,2,3,8, ,1,1, ,1,1, , ,1, ,2,1,2,2,2,0,1, , ,1,1, , ,2,2,1.2580645161290323
1100026,1,60817,1,170608,1,0,1,1,1,1,42,2,R,1,42,R,2,2,1,2, , , ,2,1, , , ,1,1,1,2,2,2,4,3, , ,1,2,2,1,2,1,1,2,1, ,1,2, , , ,2, , ,1, , , , ,2,2,1,2,2,2,2,1,1, , , , , ,2,1,2,1,1,1,1, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,3,1,1, ,2, ,1,1, ,2,2,1,2,-2,3,1,72,5,2,1,1,1, ,1,3, ,1, ,2,5,4, ,1,3,9, ,9, , , , ,3,3,2,2,2,0,1, , ,1,1, , ,2,2,1.8387096774193548
1100038,1,60817,1,170608,1,0,1,1,1,3,48,5,S,3,48,S,2,2,2,1, , , ,1,2, , , ,1,9,1,1,2,2,2,3, , ,1,2,2,1,5,2,1,2,1, ,2,1, , , ,9, , ,4, , , , ,1,2,1,9,9,2,9,1,1, , , , , ,2,5,2,1,1,5,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,1,2, ,3,4,1,2,0,4,2,62,5,2,1,1,1, ,1,1, ,13,1,1,4,2, ,1,1, ,2,1, , ,9, ,3,2,2,2,2,0,1, , ,1,1, , ,2,2,2.6451612903225805
1100039,1,61117,1,170608,3,1,3,1,2,3,48,4,U,3,48,U,2,2,1,1, , , ,1,9, , , ,9,9,3,3,3,2,2,3, , ,1,2,1,2,2,1,1,1,2, ,2,1, , , ,9, , ,1, , , , ,1,2,2,1,1,2,1,2,1, , , , , ,1,5,1,1,2,2,5, , , , , , , ,1,1, ,1, , , , , , , , , , , , ,1,9, , ,1, ,2, ,2,1,9,2,2,7,8,1,58,8,1,1,3,3,1, ,1, ,2, ,2,4,9,1,1,1, ,9,1, , ,1, ,3,2,4,4,3,0,1, , ,1,1, , ,2,2,1.3548387096774193
1100044,1,60917,1,170608,2,0,2,1,1,3,5,1,R,3,5,R,2,1,1,1, , , ,1,2, , , ,1,2,1,1,2,2,1,4, , ,1,2,1,2,1,1,1,1,2, ,2,2, , , ,1, , ,1, , , , ,2,2,1,1,1,2,1,2,1, , , , , ,1,2,1,2,2,2,1, , , , , , , ,2,2, ,2, , , , , , , , , , , , ,2,2, ,1,1, ,2, ,2,1,4,2,2,6,8,1,75,6,2,1,1,1, ,1,1, ,1, ,1,2,2, ,1,3,1, ,1, , ,1, ,1,3,2,2,2,0,1, , ,1,1, , ,2,2,1.0967741935483872
1100048,1,60817,1,170608,1,0,1,1,1,3,48,2,S,3,48,S,2,2,1,2, , , ,1,1, , , ,2,2,1,2,1,2,2,4, , ,2,1,1,2,2,2,1,2,2, ,2,2, , , ,1, , ,2, , , , ,2,1,1,1,1,2,1,2,2, , , , , ,1,1,1,2,2,2,1, , , , , , , ,1,1, ,1, , , , , , , , , , , , ,1,2, ,1,2, ,2, ,2,2,3,4,1,4,7,2,78,4,2,1,1,1, ,1,5, ,1, ,1,3,3, ,1,1, ,1,1, , ,2, ,2,1,1, ,1,0,1, , ,1,1, , ,2,2,1.2903225806451615
